"author_name","categories","no_paper_in_cat","author_no_in_cat","paper_proportion"
"wei bao","condensed matter","75.00","2.00","0.03"
"v. zitelli","physics","102.00","1.00","0.01"
"j. bauer","condensed matter","75.00","1.00","0.01"
"francesco sannino","physics","102.00","4.00","0.04"
"v. a. polyakov","high energy physics","47.00","1.00","0.02"
"anthony f. j. van raan","physics","102.00","2.00","0.02"
"k. tsushima","high energy physics","47.00","2.00","0.04"
"yi cui","condensed matter","75.00","1.00","0.01"
"f. vagnetti","physics","102.00","1.00","0.01"
"ning kang","condensed matter","75.00","1.00","0.01"
"alvaro pelayo","mathematics","32.00","1.00","0.03"
"pedro resende","computer science","36.00","3.00","0.08"
"s. n. yang","high energy physics","47.00","2.00","0.04"
"l. da silva","physics","102.00","1.00","0.01"
"v. m. leontiev","high energy physics","47.00","1.00","0.02"
"hideo matsuhara","physics","102.00","1.00","0.01"
"g. m. stirpe","physics","102.00","1.00","0.01"
"francis filbet","computer science","36.00","1.00","0.03"
"francesco sannino","high energy physics","47.00","4.00","0.09"
"b. buechner","condensed matter","75.00","2.00","0.03"
"alexander yu. orlov","mathematics","32.00","2.00","0.06"
"thomas ferguson","physics","102.00","1.00","0.01"
"anon plangprasopchok","computer science","36.00","3.00","0.08"
"rafal oszwaldowski","high energy physics","47.00","2.00","0.04"
"tanya zelevinsky","physics","102.00","1.00","0.01"
"v. p. novikov","high energy physics","47.00","1.00","0.02"
"rafal oszwaldowski","condensed matter","75.00","2.00","0.03"
"ioana paun","computer science","36.00","1.00","0.03"
"kae nemoto","physics","102.00","1.00","0.01"
"andrew d. ludlow","physics","102.00","1.00","0.01"
"ugo montanari","computer science","36.00","3.00","0.08"
"andrea conti","computer science","36.00","2.00","0.06"
"debra meloy elmegreen","physics","102.00","1.00","0.01"
"luca stabellini","computer science","36.00","2.00","0.06"
"huan yang","condensed matter","75.00","1.00","0.01"
"xin yan","computer science","36.00","1.00","0.03"
"s. catalano","physics","102.00","1.00","0.01"
"yasuhiro iye","condensed matter","75.00","1.00","0.01"
"d. trevese","physics","102.00","1.00","0.01"
"jinhua jiang","computer science","36.00","1.00","0.03"
"ying chen","condensed matter","75.00","2.00","0.03"
"thomas zanon-willette","physics","102.00","1.00","0.01"
"xiaoxing xi","condensed matter","75.00","1.00","0.01"
"velio tralli","computer science","36.00","2.00","0.06"
"v. i. shelikhov","high energy physics","47.00","1.00","0.02"
"a. v. inyakin","high energy physics","47.00","1.00","0.02"
"s. v. borisenko","condensed matter","75.00","2.00","0.03"
"d. m. basko","condensed matter","75.00","1.00","0.01"
"thomas a. trainor","high energy physics","47.00","1.00","0.02"
"nicolas besse","computer science","36.00","1.00","0.03"
"john harnad","mathematics","32.00","2.00","0.06"
"yingzi zhang","condensed matter","75.00","1.00","0.01"
"ozlem yesiltas","physics","102.00","1.00","0.01"
"s. v. laptev","high energy physics","47.00","1.00","0.02"
"s. n. yang","physics","102.00","2.00","0.02"
"r. c. thompson","physics","102.00","2.00","0.02"
"s. bilge ocak","physics","102.00","1.00","0.01"
"r. k. thakur","physics","102.00","1.00","0.01"
"soojong pak","physics","102.00","1.00","0.01"
"e. marilli","physics","102.00","1.00","0.01"
"damian c. swift","condensed matter","75.00","2.00","0.03"
"antoine delcroix","mathematics","32.00","2.00","0.06"
"i. y. korolkov","high energy physics","47.00","1.00","0.02"
"olivier herbinet","physics","102.00","1.00","0.01"
"h. mineo","high energy physics","47.00","2.00","0.04"
"chris pearson","physics","102.00","1.00","0.01"
"sebastien g. r. louis","physics","102.00","1.00","0.01"
