"publication_id","title","url","abstract","categories","author_name","date"
7,"numerical solution of shock and ramp compression for general material properties","http://arxiv.org/abs/0704.0008","a general formulation was developed to represent material models for applications in dynamic loading. numerical methods were devised to calculate response to shock and ramp compression, and ramp decompression, generalizing previous solutions for scalar equations of state. the numerical methods were found to be flexible and robust, and matched analytic results to a high accuracy. the basic ramp and shock solution methods were coupled to solve for composite deformation paths, such as shock-induced impacts, and shock interactions with a planar interface between different materials. these calculations capture much of the physics of typical material dynamics experiments, without requiring spatially-resolving simulations. example calculations were made of loading histories in metals, illustrating the effects of plastic work on the temperatures induced in quasi-isentropic and shock-release experiments, and the effect of a phase transition.","mathematics","damian c. swift","2007-03-31"
87,"a general approach to statistical modeling of physical laws: nonparametric regression","http://arxiv.org/abs/0704.0089","statistical modeling of experimental physical laws is based on the probability density function of measured variables. it is expressed by experimental data via a kernel estimator. the kernel is determined objectively by the scattering of data during calibration of experimental setup. a physical law, which relates measured variables, is optimally extracted from experimental data by the conditional average estimator. it is derived directly from the kernel estimator and corresponds to a general nonparametric regression. the proposed method is demonstrated by the modeling of a return map of noisy chaotic data. in this example, the nonparametric regression is used to predict a future value of chaotic time series from the present one. the mean predictor error is used in the definition of predictor quality, while the redundancy is expressed by the mean square distance between data points. both statistics are used in a new definition of predictor cost function. from the minimum of the predictor cost function, a proper number of data in the model is estimated.","physics","i. grabec","2007-04-01"
87,"a general approach to statistical modeling of physical laws: nonparametric regression","http://arxiv.org/abs/0704.0089","statistical modeling of experimental physical laws is based on the probability density function of measured variables. it is expressed by experimental data via a kernel estimator. the kernel is determined objectively by the scattering of data during calibration of experimental setup. a physical law, which relates measured variables, is optimally extracted from experimental data by the conditional average estimator. it is derived directly from the kernel estimator and corresponds to a general nonparametric regression. the proposed method is demonstrated by the modeling of a return map of noisy chaotic data. in this example, the nonparametric regression is used to predict a future value of chaotic time series from the present one. the mean predictor error is used in the definition of predictor quality, while the redundancy is expressed by the mean square distance between data points. both statistics are used in a new definition of predictor cost function. from the minimum of the predictor cost function, a proper number of data in the model is estimated.","physics","i. grabec","2007-04-01"
180,"gamma-ray emitting agn and glast","http://arxiv.org/abs/0704.0184","i describe the different classes of active galactic nuclei (agn) and the basic tenets of unified schemes. i then review the properties of the extragalactic sources detected in the gev and tev bands, showing that the vast majority of them belong to the very rare blazar class. i further discuss the kind of agn glast is likely to detect, making some predictions going from the obvious to the likely, all the way to the less probable.","physics","p. padovani","2007-04-02"
223,"interpolating and sampling sequences in finite riemann surfaces","http://arxiv.org/abs/0704.0231","we provide a description of the interpolating and sampling sequences on a space of holomorphic functions with a uniform growth restriction defined on finite riemann surfaces.","mathematics","joaquim ortega-cerda","2007-04-02"
234,"masers and star formation","http://arxiv.org/abs/0704.0242","recent observational and theoretical advances concerning astronomical masers in star forming regions are reviewed. major masing species are considered individually and in combination. key results are summarized with emphasis on present science and future prospects.","physics","vincent l. fish","2007-04-02"
459,"contrasting two transformation-based methods for obtaining absolute extrema","http://arxiv.org/abs/0704.0473","in this note we contrast two transformation-based methods to deduce absolute extrema and the corresponding extremizers. unlike variation-based methods, the transformation-based ones of carlson and leitmann and the recent one of silva and torres are direct in that they permit obtaining solutions by inspection.","mathematics","george leitmann","2007-04-03"
459,"contrasting two transformation-based methods for obtaining absolute extrema","http://arxiv.org/abs/0704.0473","in this note we contrast two transformation-based methods to deduce absolute extrema and the corresponding extremizers. unlike variation-based methods, the transformation-based ones of carlson and leitmann and the recent one of silva and torres are direct in that they permit obtaining solutions by inspection.","mathematics","delfim f. m. torres","2007-04-03"
474,"relativistic treatment in d-dimensions to a spin-zero particle with noncentral equal scalar and vector ring-shaped kratzer potential","http://arxiv.org/abs/0704.0489","the klein-gordon equation in d-dimensions for a recently proposed kratzer potential plus ring-shaped potential is solved analytically by means of the conventional nikiforov-uvarov method. the exact energy bound-states and the corresponding wave functions of the klein-gordon are obtained in the presence of the noncentral equal scalar and vector potentials. the results obtained in this work are more general and can be reduced to the standard forms in three-dimensions given by other works.","physics","ramazan sever","2007-04-04"
474,"relativistic treatment in d-dimensions to a spin-zero particle with noncentral equal scalar and vector ring-shaped kratzer potential","http://arxiv.org/abs/0704.0489","the klein-gordon equation in d-dimensions for a recently proposed kratzer potential plus ring-shaped potential is solved analytically by means of the conventional nikiforov-uvarov method. the exact energy bound-states and the corresponding wave functions of the klein-gordon are obtained in the presence of the noncentral equal scalar and vector potentials. the results obtained in this work are more general and can be reduced to the standard forms in three-dimensions given by other works.","physics","sameer m. ikhdair","2007-04-04"
