"publication_id","sub_categories_id"
7,53
7,79
29,61
81,63
87,121
87,130
124,55
180,126
223,72
234,126
235,50
274,12
274,18
312,50
312,53
459,79
474,123
522,18
541,124
541,130
568,78
568,92
580,61
580,62
580,63
580,104
609,54
609,61
649,80
649,88
667,122
680,64
680,73
684,126
690,54
731,126
741,63
782,105
851,112
851,121
859,72
873,126
874,124
921,108
993,69
1004,50
1004,53
1008,53
1008,54
1028,61
1028,104
1033,65
1033,82
1065,102
1105,63
1105,77
1115,50
1115,55
1121,50
1136,126
1141,61
1151,43
1215,77
1215,123
1234,50
1342,131
1407,126
1416,123
1423,54
1534,126
1537,17
1601,130
1614,61
1615,13
1615,34
1615,44
1719,14
1719,33
1719,44
1742,47
1742,49
1748,126
1818,33
1818,67
1818,87
1843,49
1863,123
1871,72
1871,88
1889,126
1978,60
2030,123
2057,126
2076,87
2076,90
2106,78
2106,85
2176,126
2197,61
2211,130
2244,112
2280,65
2288,96
2288,98
2309,126
2312,88
2326,126
2339,126
2362,49
2362,53
2377,78
2427,18
2441,50
2441,53
2473,88
2502,78
2506,62
2506,63
2516,126
2525,53
2571,63
2588,123
2591,18
2591,76
2614,126
2643,68
2648,50
2648,55
2717,61
2740,120
2745,126
2760,23
2760,48
2760,96
2766,88
2798,63
2798,66
2798,87
2798,88
2798,90
2856,80
2864,2
2864,126
2873,64
2873,83
2878,123
2962,126
2990,126
3001,80
3018,76
3018,77
3018,123
3052,102
3091,126
3101,126
3119,76
3119,78
3119,92
3119,136
3119,141
3144,118
3144,120
3147,77
3147,84
3165,126
3228,77
3239,77
3310,63
3310,77
3310,123
3356,102
3356,126
3363,126
3390,18
3390,123
3473,102
3508,68
3526,13
3526,32
3526,34
3568,126
3585,49
3585,135
3585,136
3592,64
3637,133
3637,138
3693,105
3748,87
3748,88
3750,101
3750,122
3756,97
3766,74
3861,75
3861,88
3861,89
3919,123
3977,126
3985,126
3990,18
4057,28
4057,43
4057,44
4059,126
4085,102
4120,61
